日期,1年
2022-08-16,1.7199
2022-08-17,1.719
2022-08-18,1.7004
2022-08-19,1.7248
2022-08-22,1.757
2022-08-23,1.7571
2022-08-24,1.7496
2022-08-25,1.7912
2022-08-26,1.7922
2022-08-29,1.7561
2022-08-30,1.7406
2022-08-31,1.7378
2022-09-01,1.7243
2022-09-02,1.7193
2022-09-05,1.7132
2022-09-06,1.7127
2022-09-07,1.7365
2022-09-08,1.749
2022-09-09,1.7597
2022-09-13,1.7697
2022-09-14,1.8015
2022-09-15,1.8058
2022-09-16,1.8298
2022-09-19,1.8506
2022-09-20,1.8483
2022-09-21,1.8282
2022-09-22,1.8232
2022-09-23,1.828
2022-09-26,1.8608
2022-09-27,1.8711
2022-09-28,1.9024
2022-09-29,1.893
2022-09-30,1.8535
2022-10-08,1.8323
2022-10-09,1.829
2022-10-10,1.7908
2022-10-11,1.7867
2022-10-12,1.8067
2022-10-13,1.8051
2022-10-14,1.7851
2022-10-17,1.7856
2022-10-18,1.7856
2022-10-19,1.7806
2022-10-20,1.7656
2022-10-21,1.7706
2022-10-24,1.77
2022-10-25,1.7945
2022-10-26,1.8005
2022-10-27,1.7551
2022-10-28,1.7403
2022-10-31,1.7305
2022-11-01,1.7523
2022-11-02,1.7633
2022-11-03,1.753
2022-11-04,1.7628
2022-11-07,1.7516
2022-11-08,1.7774
2022-11-09,1.8156
2022-11-10,1.8584
2022-11-11,1.9614
2022-11-14,2.0663
2022-11-15,2.1342
2022-11-16,2.2014
2022-11-17,2.1715
2022-11-18,2.1718
2022-11-21,2.1504
2022-11-22,2.1431
2022-11-23,2.1024
2022-11-24,2.0581
2022-11-25,2.0685
2022-11-28,2.0699
2022-11-29,2.1139
2022-11-30,2.1341
2022-12-01,2.1456
2022-12-02,2.1554
2022-12-05,2.1462
2022-12-06,2.1566
2022-12-07,2.2495
2022-12-08,2.2457
2022-12-09,2.2869
2022-12-12,2.3019
2022-12-13,2.3369
2022-12-14,2.3019
2022-12-15,2.3169
2022-12-16,2.3169
2022-12-19,2.2969
2022-12-20,2.2969
2022-12-21,2.2919
2022-12-22,2.2669
2022-12-23,2.2269
2022-12-26,2.2469
2022-12-27,2.2469
2022-12-28,2.2369
2022-12-29,2.1669
2022-12-30,2.0969
2022-12-31,2.0969
2023-01-03,2.112
2023-01-04,2.067
2023-01-05,2.082
2023-01-06,2.097
2023-01-09,2.0996
2023-01-10,2.122
2023-01-11,2.127
2023-01-12,2.097
2023-01-13,2.097
2023-01-16,2.127
2023-01-17,2.127
2023-01-18,2.1615
2023-01-19,2.1677
2023-01-20,2.1648
2023-01-28,2.1496
2023-01-29,2.1519
2023-01-30,2.176
2023-01-31,2.1535
2023-02-01,2.1631
2023-02-02,2.1507
2023-02-03,2.1504
2023-02-06,2.1581
2023-02-07,2.163
2023-02-08,2.1617
2023-02-09,2.1673
2023-02-10,2.1682
2023-02-13,2.1734
2023-02-14,2.1781
2023-02-15,2.1792
2023-02-16,2.1916
2023-02-17,2.1973
2023-02-20,2.2395
2023-02-21,2.2422
2023-02-22,2.24
2023-02-23,2.2603
2023-02-24,2.2948
2023-02-27,2.3165
2023-02-28,2.3291
2023-03-01,2.3197
2023-03-02,2.3247
2023-03-03,2.323
2023-03-06,2.2955
2023-03-07,2.288
2023-03-08,2.273
2023-03-09,2.273
2023-03-10,2.263
2023-03-13,2.263
2023-03-14,2.269
2023-03-15,2.279
2023-03-16,2.249
2023-03-17,2.249
2023-03-20,2.234
2023-03-21,2.249
2023-03-22,2.2728
2023-03-23,2.2678
2023-03-24,2.2928
2023-03-27,2.2728
2023-03-28,2.2778
2023-03-29,2.2753
2023-03-30,2.2728
2023-03-31,2.2328
2023-04-03,2.2328
2023-04-04,2.2303
2023-04-06,2.2278
2023-04-07,2.2278
2023-04-10,2.2228
2023-04-11,2.2128
2023-04-12,2.2091
2023-04-13,2.2066
2023-04-14,2.2091
2023-04-17,2.2141
2023-04-18,2.2016
2023-04-19,2.1891
2023-04-20,2.1905
2023-04-21,2.1894
2023-04-23,2.1906
2023-04-24,2.1855
2023-04-25,2.1754
2023-04-26,2.1727
2023-04-27,2.156
2023-04-28,2.1464
2023-05-04,2.1362
2023-05-05,2.1266
2023-05-06,2.1215
2023-05-08,2.1323
2023-05-09,2.1203
2023-05-10,2.0883
2023-05-11,2.0353
2023-05-12,2.0441
2023-05-15,2.0602
2023-05-16,2.0653
2023-05-17,2.078
2023-05-18,2.0729
2023-05-19,2.0554
2023-05-22,2.0218
2023-05-23,1.9909
2023-05-24,1.9893
2023-05-25,1.979
2023-05-26,2.0188
2023-05-29,1.9979
2023-05-30,1.9835
2023-05-31,1.9829
2023-06-01,1.9721
2023-06-02,1.9731
2023-06-05,1.939
2023-06-06,1.9177
2023-06-07,1.8955
2023-06-08,1.8887
2023-06-09,1.8636
2023-06-12,1.8663
2023-06-13,1.8514
2023-06-14,1.8365
2023-06-15,1.8616
2023-06-16,1.8817
2023-06-19,1.9018
2023-06-20,1.9118
2023-06-21,1.9161
2023-06-25,1.912
2023-06-26,1.912
2023-06-27,1.952
2023-06-28,1.942
2023-06-29,1.932
2023-06-30,1.8723
2023-07-03,1.8425
2023-07-04,1.8326
2023-07-05,1.8227
2023-07-06,1.8227
2023-07-07,1.8279
2023-07-10,1.8279
2023-07-11,1.8231
2023-07-12,1.8183
2023-07-13,1.8384
2023-07-14,1.8385
2023-07-17,1.7635
2023-07-18,1.7635
2023-07-19,1.7535
2023-07-20,1.7485
2023-07-21,1.7385
2023-07-24,1.7335
2023-07-25,1.7782
2023-07-26,1.7882
2023-07-27,1.8182
2023-07-28,1.8181
2023-07-31,1.8102
2023-08-01,1.7751
2023-08-02,1.7663
2023-08-03,1.7421
2023-08-04,1.7511
2023-08-07,1.7599
2023-08-08,1.7796
2023-08-09,1.8093
2023-08-10,1.8265
2023-08-11,1.8305
2023-08-14,1.8156
2023-08-15,1.8245
2023-08-16,1.8375
2023-08-17,1.8397
2023-08-18,1.8323
2023-08-21,1.8705
2023-08-22,1.899
2023-08-23,1.8964
2023-08-24,1.8772
2023-08-25,1.8951
2023-08-28,1.9245
2023-08-29,1.9902
2023-08-30,1.9392
2023-08-31,1.9051
2023-09-01,1.9578
2023-09-04,1.9822
2023-09-05,1.9929
2023-09-06,2.0801
2023-09-07,2.0874
2023-09-08,2.0952
2023-09-11,2.1352
2023-09-12,2.1252
2023-09-13,2.1027
2023-09-14,2.1027
2023-09-15,2.1327
2023-09-18,2.1727
2023-09-19,2.1877
2023-09-20,2.2077
2023-09-21,2.1877
2023-09-22,2.1977
2023-09-25,2.2127
2023-09-26,2.2327
2023-09-27,2.2077
2023-09-28,2.1677
2023-10-07,2.1477
2023-10-08,2.1377
2023-10-09,2.1577
2023-10-10,2.1977
2023-10-11,2.2377
2023-10-12,2.1977
2023-10-13,2.1777
2023-10-16,2.1877
2023-10-17,2.2227
2023-10-18,2.2457
2023-10-19,2.2907
2023-10-20,2.3107
2023-10-23,2.3007
2023-10-24,2.3257
2023-10-25,2.2838
2023-10-26,2.2838
2023-10-27,2.2807
2023-10-30,2.2251
2023-10-31,2.2051
2023-11-01,2.2501
2023-11-02,2.2151
2023-11-03,2.2202
2023-11-06,2.2303
